id,question,gold_sql
45,Thể loại phim nào có điểm đánh giá trung bình cao nhất?,"SELECT mg.genre, AVG(m.rank) as avg_rank FROM movies m JOIN movies_genres mg ON m.id = mg.movie_id GROUP BY mg.genre ORDER BY avg_rank DESC LIMIT 1;"
46,Tìm đạo diễn đã làm phim ở ít nhất 3 thể loại khác nhau.,"SELECT d.first_name, d.last_name FROM directors d JOIN movies_directors md ON d.id = md.director_id JOIN movies_genres mg ON md.movie_id = mg.movie_id GROUP BY d.id HAVING COUNT(DISTINCT mg.genre) >= 3;"
47,Bộ phim nào có nhiều diễn viên tham gia nhất?,"SELECT m.name, COUNT(r.actor_id) as cast_size FROM movies m JOIN roles r ON m.id = r.movie_id GROUP BY m.id ORDER BY cast_size DESC LIMIT 1;"
48,Tìm các diễn viên đã từng hợp tác với đạo diễn 'Christopher Nolan'.,"SELECT DISTINCT a.first_name, a.last_name FROM actors a JOIN roles r ON a.id = r.actor_id JOIN movies_directors md ON r.movie_id = md.movie_id JOIN directors d ON md.director_id = d.id WHERE d.first_name = 'Christopher' AND d.last_name = 'Nolan';"
49,Liệt kê các năm mà tất cả các phim trong năm đó đều có rank > 7.,SELECT year FROM movies GROUP BY year HAVING MIN(rank) > 7;
50,Tìm đạo diễn có tất cả các phim đều đạt rank từ 6 trở lên.,"SELECT d.first_name, d.last_name FROM directors d WHERE NOT EXISTS (SELECT 1 FROM movies_directors md JOIN movies m ON md.movie_id = m.id WHERE md.director_id = d.id AND m.rank < 6);"
51,Tính tỷ lệ phần trăm các bộ phim có ghi nhận điểm đánh giá (rank NOT NULL).,SELECT (COUNT(`rank`)*100.0 / COUNT(*)) as percentage_ranked FROM movies;
52,Tìm những bộ phim ra mắt năm 2000 có điểm đánh giá (rank) cao hơn điểm trung bình của tất cả phim ra mắt năm 1995.,SELECT name FROM movies WHERE year = 2000 AND rank > (SELECT AVG(rank) FROM movies WHERE year = 1995);
53,Tìm các thể loại phim có điểm đánh giá trung bình cao hơn điểm đánh giá trung bình của thể loại 'Action'.,"SELECT mg.genre, AVG(m.rank) as avg_rank FROM movies m JOIN movies_genres mg ON m.id = mg.movie_id GROUP BY mg.genre HAVING AVG(m.rank) > (SELECT AVG(m2.rank) FROM movies m2 JOIN movies_genres mg2 ON m2.id = mg2.movie_id WHERE mg2.genre = 'Action');"
54,Có bao nhiêu phim chưa có điểm đánh giá?,SELECT COUNT(*) FROM movies WHERE rank IS NULL;
55,Có bao nhiêu bộ phim có tên bị trùng nhau?,SELECT COUNT(*) FROM (SELECT name FROM movies GROUP BY name HAVING COUNT(*) > 1) AS duplicated_movies
56,Tìm 10 diễn viên có số vai diễn nhiều nhất.,"SELECT a.first_name, a.last_name, COUNT(r.role) AS role_count FROM actors a JOIN roles r ON a.id = r.actor_id GROUP BY a.id, a.first_name, a.last_name ORDER BY role_count DESC LIMIT 10"
57,Tìm các thể loại có số phim năm 2000 nhiều hơn số phim trung bình năm 2000 của tất cả thể loại.,"SELECT mg.genre, COUNT(*) AS movie_count FROM movies_genres mg JOIN movies m ON mg.movie_id = m.id WHERE m.year = 2000 GROUP BY mg.genre HAVING COUNT(*) > (SELECT AVG(total_count) FROM (SELECT COUNT(*) AS total_count FROM movies_genres mg2 JOIN movies m2 ON mg2.movie_id = m2.id WHERE m2.year = 2000 GROUP BY mg2.genre) AS genre_counts)"
58,Liệt kê 10 phim có nhiều đạo diễn nhất,"SELECT m.name, COUNT(md.director_id) AS director_count FROM movies m JOIN movies_directors md ON m.id = md.movie_id GROUP BY m.id, m.name ORDER BY director_count DESC LIMIT 10"
59,Liệt kê các phim không có thể loại nào được ghi nhận,"SELECT m.id, m.name FROM movies m LEFT JOIN movies_genres mg ON m.id = mg.movie_id WHERE mg.movie_id IS NULL LIMIT 20"
60,Tìm diễn viên tham gia nhiều thể loại phim khác nhau nhất,"SELECT a.first_name, a.last_name, COUNT(DISTINCT mg.genre) AS genre_count FROM actors a JOIN roles r ON a.id = r.actor_id JOIN movies_genres mg ON r.movie_id = mg.movie_id GROUP BY a.id, a.first_name, a.last_name ORDER BY genre_count DESC LIMIT 1"
61,Tìm các năm có điểm đánh giá trung bình của phim lớn hơn 7,"SELECT year, AVG(rank) AS avg_rank FROM movies WHERE rank IS NOT NULL AND year IS NOT NULL GROUP BY year HAVING AVG(rank) > 7 ORDER BY avg_rank DESC"
62,Có bao nhiêu thể loại phim khác nhau trong hệ thống?,SELECT COUNT(DISTINCT genre) FROM movies_genres;
63,Tên của 5 bộ phim cũ nhất (năm phát hành nhỏ nhất) là gì?,SELECT name FROM movies WHERE year IS NOT NULL ORDER BY year ASC LIMIT 5;
